Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x840e90261040	213	-	N/A	False	2025-03-12 16:39:40.000000 UTC	N/A	Disabled
108	4	Registry	0x840e9037c040	4	-	N/A	False	2025-03-12 16:39:25.000000 UTC	N/A	Disabled
536	4	smss.exe	0x840e910b4040	2	-	N/A	False	2025-03-12 16:39:40.000000 UTC	N/A	Disabled
804	796	csrss.exe	0x840e921650c0	13	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
880	796	wininit.exe	0x840e9228c080	1	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
888	872	csrss.exe	0x840e92291140	10	-	1	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
980	872	winlogon.exe	0x840e92305080	3	-	1	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
1000	880	services.exe	0x840e9230b100	9	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
548	880	lsass.exe	0x840e92349080	10	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
756	1000	svchost.exe	0x840e923de2c0	17	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
800	980	fontdrvhost.ex	0x840e923f41c0	5	-	1	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
892	880	fontdrvhost.ex	0x840e923f61c0	5	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	Disabled
1076	1000	svchost.exe	0x840e92c9a340	10	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1124	1000	svchost.exe	0x840e92cab2c0	6	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1204	980	dwm.exe	0x840e92cfa140	13	-	1	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1292	1000	svchost.exe	0x840e92def080	6	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1320	1000	svchost.exe	0x840e92d2e240	3	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1364	1000	svchost.exe	0x840e92d48080	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1392	1000	svchost.exe	0x840e92e30080	4	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1408	1000	svchost.exe	0x840e92e04300	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1524	1000	svchost.exe	0x840e92e48080	13	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1580	1000	svchost.exe	0x840e92e732c0	9	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1604	1000	svchost.exe	0x840e92eaa2c0	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1612	1000	svchost.exe	0x840e92eac340	3	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1652	1000	svchost.exe	0x840e92f04340	4	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1764	1000	svchost.exe	0x840e92f202c0	6	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1776	1000	svchost.exe	0x840e92f23080	7	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1808	1000	svchost.exe	0x840e92f27080	1	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1964	1000	svchost.exe	0x840e92fc6080	8	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1976	1000	svchost.exe	0x840e92fc5300	3	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1988	1000	svchost.exe	0x840e92fc7080	3	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
604	1000	svchost.exe	0x840e92fbb0c0	5	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
1924	4	MemCompression	0x840e966b1080	70	-	N/A	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
2092	1000	svchost.exe	0x840e966d62c0	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
2160	1000	svchost.exe	0x840e96769240	7	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
2168	1000	svchost.exe	0x840e9676e080	8	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
2180	1000	svchost.exe	0x840e9676b300	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	Disabled
2276	1000	svchost.exe	0x840e96794080	5	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	Disabled
2376	1000	svchost.exe	0x840e96862080	12	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	Disabled
2384	1000	svchost.exe	0x840e96864380	3	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	Disabled
2396	1000	svchost.exe	0x840e96860080	4	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	Disabled
2472	1000	svchost.exe	0x840e9689a080	6	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	Disabled
2496	1000	svchost.exe	0x840e968c00c0	2	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	Disabled
