Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x840e90261040	213	-	N/A	False	2025-03-12 16:39:40.000000 UTC	N/A	-	-	-
* 536	4	smss.exe	0x840e910b4040	2	-	N/A	False	2025-03-12 16:39:40.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 1924	4	MemCompression	0x840e966b1080	70	-	N/A	False	2025-03-12 16:39:53.000000 UTC	N/A	MemCompression	-	-
* 108	4	Registry	0x840e9037c040	4	-	N/A	False	2025-03-12 16:39:25.000000 UTC	N/A	Registry	-	-
804	796	csrss.exe	0x840e921650c0	13	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
880	796	wininit.exe	0x840e9228c080	1	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 1000	880	services.exe	0x840e9230b100	9	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 11776	1000	svchost.exe	0x840e9ccec080	7	-	0	False	2025-03-13 21:55:17.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv	C:\Windows\system32\svchost.exe
** 3604	1000	svchost.exe	0x840e90c19340	7	-	1	False	2025-03-12 16:41:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc	C:\Windows\system32\svchost.exe
** 4636	1000	svchost.exe	0x840e99c6e080	4	-	2	False	2025-03-12 19:20:13.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc	C:\Windows\system32\svchost.exe
** 11296	1000	PSEXESVC.exe	0x840e99474080	6	-	0	True	2025-03-17 17:01:17.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\PSEXESVC.exe	C:\Windows\PSEXESVC.exe	C:\Windows\PSEXESVC.exe
*** 4672	11296	excel-update.e	0x840e9e6f3080	2	-	0	True	2025-03-17 17:01:18.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\excel-update.exe	"excel-update.exe" 	C:\Windows\excel-update.exe
**** 13752	4672	cmd.exe	0x840e978ed080	1	-	0	True	2025-03-17 17:04:00.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SysWOW64\cmd.exe	C:\Windows\system32\cmd.exe	C:\Windows\SysWOW64\cmd.exe
***** 12392	13752	conhost.exe	0x840e97e59080	3	-	0	False	2025-03-17 17:04:00.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4	C:\Windows\system32\conhost.exe
***** 13156	13752	powershell.exe	0x840e9ee430c0	10	-	0	True	2025-03-17 17:19:23.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe	powershell	C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
** 1580	1000	svchost.exe	0x840e92e732c0	9	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule	C:\Windows\system32\svchost.exe
*** 15784	1580	taskhostw.exe	0x840e9db77080	3	-	1	False	2025-03-17 17:12:11.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe	C:\Windows\system32\taskhostw.exe
*** 6380	1580	taskhostw.exe	0x840e9e7020c0	4	-	2	False	2025-03-17 17:12:11.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe	C:\Windows\system32\taskhostw.exe
*** 4428	1580	taskhostw.exe	0x840e91db7340	8	-	1	False	2025-03-12 16:41:32.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}	C:\Windows\system32\taskhostw.exe
*** 10476	1580	taskhostw.exe	0x840e9b372080	7	-	2	False	2025-03-12 19:20:10.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}	C:\Windows\system32\taskhostw.exe
** 2092	1000	svchost.exe	0x840e966d62c0	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS	C:\Windows\system32\svchost.exe
** 1076	1000	svchost.exe	0x840e92c9a340	10	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p	C:\Windows\system32\svchost.exe
** 3636	1000	svchost.exe	0x840e96e77080	2	-	0	False	2025-03-12 16:40:04.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost	C:\Windows\System32\svchost.exe
** 7220	1000	svchost.exe	0x840e91ba00c0	8	-	0	False	2025-03-12 16:42:22.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc	C:\Windows\system32\svchost.exe
** 4156	1000	svchost.exe	0x840e9969e080	4	-	1	False	2025-03-12 16:42:19.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	C:\Windows\system32\svchost.exe
** 15932	1000	svchost.exe	0x840e974f7340	3	-	0	False	2025-03-17 17:25:11.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p	C:\Windows\system32\svchost.exe
** 3648	1000	CSFalconServic	0x840e97159300	109	-	0	False	2025-03-12 16:40:04.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\CrowdStrike\CSFalconService.exe	"C:\Program Files\CrowdStrike\CSFalconService.exe"	C:\Program Files\CrowdStrike\CSFalconService.exe
*** 6624	3648	CSFalconContai	0x840e97442080	5	-	0	False	2025-03-12 16:41:03.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\CrowdStrike\CSFalconContainer.exe	/00000012	C:\Program Files\CrowdStrike\CSFalconContainer.exe
*** 324	3648	CSFalconContai	0x840e974b4080	5	-	0	False	2025-03-12 16:40:15.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\CrowdStrike\CSFalconContainer.exe	/00000004	C:\Program Files\CrowdStrike\CSFalconContainer.exe
*** 1192	3648	CSFalconContai	0x840e975ad080	3	-	0	False	2025-03-12 16:40:19.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\CrowdStrike\CSFalconContainer.exe	/00000011	C:\Program Files\CrowdStrike\CSFalconContainer.exe
*** 6604	3648	CSFalconContai	0x840e9783b080	3	-	0	False	2025-03-12 16:41:03.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\CrowdStrike\CSFalconContainer.exe	/00000007	C:\Program Files\CrowdStrike\CSFalconContainer.exe
*** 5980	3648	CSFalconContai	0x840e974b7080	3	-	0	False	2025-03-12 16:40:08.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\CrowdStrike\CSFalconContainer.exe	/00000003	C:\Program Files\CrowdStrike\CSFalconContainer.exe
** 1604	1000	svchost.exe	0x840e92eaa2c0	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc	C:\Windows\system32\svchost.exe
** 8772	1000	svchost.exe	0x840e991ec300	0	-	0	False	2025-03-12 16:42:39.000000 UTC	2025-03-12 16:43:41.000000 UTC	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 1612	1000	svchost.exe	0x840e92eac340	3	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p	C:\Windows\system32\svchost.exe
** 604	1000	svchost.exe	0x840e92fbb0c0	5	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc	C:\Windows\System32\svchost.exe
** 1124	1000	svchost.exe	0x840e92cab2c0	6	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM	C:\Windows\system32\svchost.exe
