Volatility 3 Framework 2.26.2

Offset(Virtual)	Name	PID	pslist	psscan	thrdscan	csrss	Exit Time

0x840e92fc7080	svchost.exe	1988	True	True	True	True	
0x840e96d9f080	svchost.exe	3308	True	True	True	True	
0x840e9783b080	CSFalconContai	6604	True	True	True	True	
0x840e970f3080	svchost.exe	3172	True	True	True	True	
0x840e96e77080	svchost.exe	3636	True	True	True	True	
0x840e974b7080	CSFalconContai	5980	True	True	True	True	
0x840e96e0f080	sihost.exe	6908	True	True	True	True	
0x840e90ad3080	svchost.exe	7152	True	True	True	True	
0x840e99387080	StartMenuExper	7408	True	True	True	True	
0x840e98aef080	RuntimeBroker.	7684	True	True	True	True	
0x840e91e1e080	userinit.exe	9940	True	True	False	False	2025-03-12 19:20:36+00:00
0x840e9e99e080	dllhost.exe	7884	True	True	True	True	
0x840e96c23280	spoolsv.exe	2904	True	True	True	True	
0x840e976a2300	unsecapp.exe	5220	True	True	True	True	
0x840e99760080	msedge.exe	7484	True	True	False	False	2025-03-12 19:21:14+00:00
0x840e9c441080	SearchApp.exe	9092	True	True	True	True	
0x840e99c83080	dwm.exe	10628	True	True	True	True	
0x840e98f07080	msedge.exe	9172	True	True	True	True	
0x840e90261040	System	4	True	True	True	False	
0x840e9037c040	Registry	108	True	True	True	False	
0x840e910b4040	smss.exe	536	True	True	True	False	
0x840e92d2e240	svchost.exe	1320	True	True	True	True	
0x840e96769240	svchost.exe	2160	True	True	True	True	
0x840e98bd6240	RuntimeBroker.	8120	True	True	True	True	
0x840e9968b080	chrome.exe	4720	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e995cd0c0	svchost.exe	6356	True	True	True	True	
0x840e997450c0	svchost.exe	3052	True	True	True	True	
0x840e998450c0	SearchApp.exe	4236	True	True	True	True	
0x840e98c450c0	dllhost.exe	7800	True	True	True	True	
0x840ea17ec080	msedge.exe	12780	True	True	False	False	2025-03-13 14:59:22+00:00
0x840e9ccec080	svchost.exe	11776	True	True	True	True	
0x840e9cb8d0c0	msedge.exe	5148	True	True	True	True	
0x840e918e90c0	svchost.exe	14128	True	True	True	True	
0x840e9eb950c0	CloudNotificat	14972	True	True	True	True	
0x840e96f6d2c0	svchost.exe	3880	True	True	True	True	
0x840e9958d2c0	chrome.exe	2516	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e9bef0080	chrome.exe	7868	True	True	False	False	2025-03-12 19:16:46+00:00
0x840e9da14340	TextInputHost.	12740	True	True	True	True	
0x840e9f40c340	svchost.exe	2800	True	True	True	True	
0x840e9bdf4340	ScreenConnect.	14756	True	True	True	True	
0x840e994d1080	LogonUI.exe	10680	True	True	True	True	
0x840e99651080	conhost.exe	13176	True	True	True	True	
0x840e974b2080	UserOOBEBroker	9620	True	True	True	True	
0x840e99474080	PSEXESVC.exe	11296	True	True	True	True	
0x840e9c236080	dllhost.exe	5164	True	True	True	True	
0x840e97c640c0	powershell.exe	10352	True	True	True	True	
0x840e97e59080	conhost.exe	12392	True	True	True	True	
0x840e9228c080	wininit.exe	880	True	True	True	True	
0x840e92305080	winlogon.exe	980	True	True	True	True	
0x840e92349080	lsass.exe	548	True	True	True	True	
0x840e92def080	svchost.exe	1292	True	True	True	True	
0x840e92d48080	svchost.exe	1364	True	True	True	True	
0x840e92e30080	svchost.exe	1392	True	True	True	True	
0x840e92e48080	svchost.exe	1524	True	True	True	True	
0x840e92f23080	svchost.exe	1776	True	True	True	True	
0x840e92f27080	svchost.exe	1808	True	True	True	True	
0x840e92fc6080	svchost.exe	1964	True	True	True	True	
0x840e96860080	svchost.exe	2396	True	True	True	True	
0x840e96e20080	svchost.exe	3488	True	True	True	True	
0x840e97f80080	AggregatorHost	5804	True	True	True	True	
0x840e96dc4080	svchost.exe	3352	True	True	True	True	
0x840e96794080	svchost.exe	2276	True	True	True	True	
0x840e99bdd080	SearchApp.exe	9288	True	True	True	True	
0x840e9769f080	winlogon.exe	2804	True	True	True	True	
0x840e9969f080	Microsoft.Shar	5176	True	True	True	True	
0x840e91c3b300	svchost.exe	8312	True	True	True	True	
0x840e9ce53300	ctfmon.exe	12188	True	True	True	True	
0x840e9b203300	KeePass.exe	11628	True	True	True	True	
0x840e985d8080	ShellExperienc	7588	True	True	True	True	
0x840ea7061080	svchost.exe	16024	True	True	True	True	
0x840e9cba3080	WmiPrvSE.exe	7964	True	True	True	True	
0x840e99da3080	RuntimeBroker.	4464	True	True	True	True	
0x840e9f327080	ApplicationFra	7492	True	True	True	True	
0x840ea17e9080	svchost.exe	10392	True	True	True	True	
0x840e96e552c0	svchost.exe	3560	True	True	True	True	
0x840e921650c0	csrss.exe	804	True	True	True	False	
0x840e923de2c0	svchost.exe	756	True	True	True	True	
0x840e92fbb0c0	svchost.exe	604	True	True	True	True	
0x840e968c00c0	svchost.exe	2496	True	True	True	True	
0x840e96bc00c0	svchost.exe	2848	True	True	True	True	
0x840e96e042c0	svchost.exe	3376	True	True	True	True	
0x840e96e350c0	svchost.exe	3480	True	True	True	True	
0x840e96da72c0	svchost.exe	3324	True	True	True	True	
0x840e92cab2c0	svchost.exe	1124	True	True	True	True	
0x840e9958a0c0	msedge.exe	9128	True	True	True	True	
0x840e97e8c080	svchost.exe	3864	True	True	True	True	
0x840e9eaee0c0	dllhost.exe	10124	True	True	True	True	
0x840e9f3460c0	svchost.exe	11596	True	True	True	True	
0x840e9bee60c0	svchost.exe	12440	True	True	True	True	
0x840e9951c1c0	msedge.exe	8732	True	True	True	True	
0x840e978ed080	cmd.exe	13752	True	True	True	True	
0x840e9682f080	OneDrive.exe	3320	True	True	True	True	
0x840e92eaa2c0	svchost.exe	1604	True	True	True	True	
0x840e966d62c0	svchost.exe	2092	True	True	True	True	
