Volatility 3 Framework 2.26.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x840e9028e470	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2904	spoolsv.exe	2025-03-12 16:40:03.000000 UTC
0x840e9028e890	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2025-03-12 16:40:05.000000 UTC
0x840e9028e890	TCPv6	::	445	::	0	LISTENING	4	System	2025-03-12 16:40:05.000000 UTC
0x840e90aa1b40	TCPv4	10.20.20.23	59848	20.10.127.192	443	ESTABLISHED	10224	MsSense.exe	2025-03-17 17:26:17.000000 UTC
0x840e90e64010	TCPv4	10.20.20.23	50167	23.194.127.11	443	CLOSE_WAIT	4236	SearchApp.exe	2025-03-12 16:51:49.000000 UTC
0x840e90ed0500	UDPv4	10.20.20.23	138	*	0		4	System	2025-03-12 16:39:44.000000 UTC
0x840e90ed0820	UDPv4	10.20.20.23	137	*	0		4	System	2025-03-12 16:39:44.000000 UTC
0x840e911dd470	TCPv4	10.20.20.23	139	0.0.0.0	0	LISTENING	4	System	2025-03-12 16:39:44.000000 UTC
0x840e911dd730	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1076	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e911de650	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1580	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e91b4d230	TCPv6	::1	42050	::	0	LISTENING	5176	Microsoft.Shar	2025-03-17 16:51:22.000000 UTC
0x840e91b4da70	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	1480	svchost.exe	2025-03-12 16:41:36.000000 UTC
0x840e91f22050	UDPv4	0.0.0.0	5353	*	0		1336	msedge.exe	2025-03-17 16:51:15.000000 UTC
0x840e91f43690	UDPv4	0.0.0.0	55871	*	0		15568	SenseNdr.exe	2025-03-17 16:51:22.000000 UTC
0x840e91f43cd0	UDPv4	0.0.0.0	61832	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e92041050	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1580	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041050	TCPv6	::	49667	::	0	LISTENING	1580	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e920411b0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	548	lsass.exe	2025-03-12 16:39:53.000000 UTC
0x840e920411b0	TCPv6	::	49664	::	0	LISTENING	548	lsass.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041470	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1076	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041470	TCPv6	::	135	::	0	LISTENING	1076	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041730	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	880	wininit.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041730	TCPv6	::	49665	::	0	LISTENING	880	wininit.exe	2025-03-12 16:39:53.000000 UTC
0x840e920419f0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	548	lsass.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041b50	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	880	wininit.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041cb0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1524	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041cb0	TCPv6	::	49666	::	0	LISTENING	1524	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e92041e10	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2904	spoolsv.exe	2025-03-12 16:40:03.000000 UTC
0x840e92041e10	TCPv6	::	49668	::	0	LISTENING	2904	spoolsv.exe	2025-03-12 16:40:03.000000 UTC
0x840e92042bd0	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	2025-03-12 16:40:03.000000 UTC
0x840e92042bd0	TCPv6	::	5357	::	0	LISTENING	4	System	2025-03-12 16:40:03.000000 UTC
0x840e92042e90	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1524	svchost.exe	2025-03-12 16:39:53.000000 UTC
0x840e920f75e0	UDPv4	127.0.0.1	58652	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e920f7a90	UDPv4	0.0.0.0	58653	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e920f7c20	UDPv4	0.0.0.0	0	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e920f7c20	UDPv6	::	0	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e920f8580	UDPv4	0.0.0.0	56440	*	0		15568	SenseNdr.exe	2025-03-17 16:51:25.000000 UTC
0x840e922f3520	UDPv4	0.0.0.0	500	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f3840	UDPv4	0.0.0.0	4500	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f39d0	UDPv4	0.0.0.0	500	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f39d0	UDPv6	::	500	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f3cf0	UDPv4	0.0.0.0	4500	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f3cf0	UDPv6	::	4500	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f4330	UDPv4	0.0.0.0	123	*	0		9444	svchost.exe	2025-03-17 16:50:14.000000 UTC
0x840e922f4330	UDPv6	::	123	*	0		9444	svchost.exe	2025-03-17 16:50:14.000000 UTC
0x840e922f5140	UDPv4	0.0.0.0	0	*	0		12440	svchost.exe	2025-03-13 14:54:32.000000 UTC
0x840e922f55f0	UDPv4	0.0.0.0	123	*	0		9444	svchost.exe	2025-03-17 16:50:14.000000 UTC
0x840e922f6270	UDPv4	127.0.0.1	58654	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e922f6720	UDPv4	0.0.0.0	58655	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e922f7210	UDPv4	127.0.0.1	58656	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e922f76c0	UDPv4	0.0.0.0	58657	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e922f8660	UDPv4	127.0.0.1	55870	*	0		15568	SenseNdr.exe	2025-03-17 16:51:22.000000 UTC
0x840e9231fc30	UDPv4	0.0.0.0	5353	*	0		1336	msedge.exe	2025-03-17 16:51:15.000000 UTC
0x840e9231fc30	UDPv6	::	5353	*	0		1336	msedge.exe	2025-03-17 16:51:15.000000 UTC
0x840e92322ca0	UDPv4	0.0.0.0	59539	*	0		15568	SenseNdr.exe	2025-03-17 16:51:21.000000 UTC
0x840e92323150	UDPv4	127.0.0.1	61831	*	0		15568	SenseNdr.exe	2025-03-17 16:51:24.000000 UTC
0x840e92323600	UDPv4	127.0.0.1	56439	*	0		15568	SenseNdr.exe	2025-03-17 16:51:25.000000 UTC
0x840e923757e0	UDPv4	0.0.0.0	55149	*	0		10704	fontdrvhost.ex	2025-03-12 19:16:18.000000 UTC
0x840e923757e0	UDPv6	::	55149	*	0		10704	fontdrvhost.ex	2025-03-12 19:16:18.000000 UTC
0x840e92388070	UDPv4	0.0.0.0	0	*	0		9444	svchost.exe	2025-03-13 21:55:51.000000 UTC
0x840e92388200	UDPv4	127.0.0.1	63193	*	0		15568	SenseNdr.exe	2025-03-17 16:51:17.000000 UTC
